ASIN,brand,父ASIN,parent_norm,month,quarter,小类BSR,月销量,月销售额($),variant_rank,variant_kept,adj_sales,adj_revenue,价格($),评分,评分数,包装尺寸分段
B00T02NVC8,TCMT,B00T02NVC8,B00T02NVC8,202601,2026Q1,178,48,2395,1,True,48,2395,49.9,4.4,85.0,大号大件
B01BMDL1QK,SuperATV,B01BMDL1QK,B01BMDL1QK,202601,2026Q1,125,57,25047,1,True,57,25047,524.85,4.7,294.0,超大尺寸：70 至 150 磅（不含 70 磅）
B074N7N5NG,SuperATV,B074N7N5NG,B074N7N5NG,202601,2026Q1,42,92,35920,1,True,92,35920,390.08,4.5,658.0,超大尺寸：70 至 150 磅（不含 70 磅）
B07566YMMW,XMT-MOTO,B07566YMMW,B07566YMMW,202601,2026Q1,29,90,4463,1,True,90,4463,49.59,4.1,373.0,大号大件
B07JGYRTQ4,SuperATV,B07JGYRTQ4,B07JGYRTQ4,202601,2026Q1,46,77,12316,1,True,77,12316,159.95,4.4,92.0,超大尺寸：0 至 50 磅
B07RHMT787,KEMIMOTO,B07RHMT787,B07RHMT787,202601,2026Q1,38,56,2519,1,True,56,2519,44.99,3.9,302.0,大号大件
B07WFFR2XD,KEMIMOTO,B07WFFR2XD,B07WFFR2XD,202601,2026Q1,11,98,3702,1,True,98,3702,35.99,4.6,545.0,大号大件
B08692M2ST,SLMOTO,B08692M2ST,B08692M2ST,202601,2026Q1,297,67,3322,1,True,67,3322,49.59,4.3,79.0,
B087W9WYXC,Kolpin,B087W9WYXC,B087W9WYXC,202601,2026Q1,707,68,30368,1,True,68,30368,782.21,4.4,59.0,超大尺寸：70 至 150 磅（不含 70 磅）
B08Z2Y8BHP,ECOTRIC,B08Z2Y8BHP,B08Z2Y8BHP,202601,2026Q1,7,157,38612,1,True,157,38612,252.0,4.4,286.0,大号大件
B0928GZLS6,KEMIMOTO,B0928GZLS6,B0928GZLS6,202601,2026Q1,137,61,2956,1,True,61,2956,42.99,4.4,238.0,大号大件
B093LRTQRM,SuperATV,B093LRTQRM,B093LRTQRM,202601,2026Q1,78,56,8397,1,True,56,8397,149.95,4.6,111.0,超大尺寸：0 至 50 磅
B099RBN34B,KEMIMOTO,B099RBN34B,B099RBN34B,202601,2026Q1,32,149,19368,1,True,149,19368,129.99,4.4,161.0,大号大件
B07TDJS3BT,SuperATV,B09HN67C6G,B09HN67C6G,202601,2026Q1,18,93,15468,1,True,93,15468,149.95,4.3,480.0,大号大件
B09TW568BT,HECASA,B09TW568BT,B09TW568BT,202601,2026Q1,61,63,17091,1,True,63,17091,278.9,3.7,74.0,超大尺寸：0 至 50 磅
B09VKCZ31Q,Chikia,B09VKCZ31Q,B09VKCZ31Q,202601,2026Q1,69,50,1849,1,True,50,1849,39.59,4.4,120.0,大号标准尺寸
B0B17GYM8N,Kojem,B0B1CY4VFT,B0B1CY4VFT,202601,2026Q1,212,68,13797,1,True,68,13797,198.54,4.0,51.0,大号大件
B09QFL93C1,WYNMOTO,B0B2K7Y4CK,B0B2K7Y4CK,202601,2026Q1,5,271,8387,1,True,271,8387,30.95,4.6,1225.0,大号大件
