ASIN,brand,商品标题,商品详情页链接,商品主图,parent_norm,小类BSR,月销量,月销售额($),价格($),评分,留评率,vehicle_model,product_type,variant_rank,variant_kept,adj_sales,adj_revenue
B0G4Q46212,HugeUTV,Dark Tinted Rear Windshield for Polaris Ranger XP 1000 2017-2026 | Dark Tinted Hard-Coated Back Windshield UV-Resistant Compatible with Polaris Ranger 1000/Crew 17-26 XP 900 13-19 Accessories,https://www.amazon.com/dp/B0G4Q46212,https://m.media-amazon.com/images/I/61mNEXR+YVL._AC_US600_.jpg,B0G4Q46212,1175,16,2079,129.99,5.0,0.0,Polaris Ranger XP/1000/900,风挡主件,1,True,16,2079
B0G4VTN36J,Kiawnia,"Windshield Windscreen with Bracket for Harley Touring Road King FLHR 1994-2022/ Special FLHRXS 2017-2024/ Classic FLHRC 2007-2020, Freewheeler FLRT 2015-2023 (Black+Black Bracket)",https://www.amazon.com/dp/B0G4VTN36J,https://m.media-amazon.com/images/I/51jn3T0RJdL._AC_US600_.jpg,B0G4VTN36J,316,21,6070,289.07,4.2,0.0476,Harley Touring 2014-2023,安装配件,1,True,21,6070
B0G4ZKWYM5,BOSYCY,"Club Style Front Fairing w/ 11"" Smoke Windshield, Fits 7"" Headlight for Harley Softail 2000-2017, Headlamp Cowl Kit for Fat Boy FLSTF, Heritage Classic FLSTC, Slim FLS, Deluxe",https://www.amazon.com/dp/B0G4ZKWYM5,https://m.media-amazon.com/images/I/417NXzQYC1L._AC_US600_.jpg,B0G4ZKWYM5,120,28,4199,149.99,3.1,0.0,未识别（需人工补充）,整流罩/外壳,1,True,28,4199
B0G8FHRW73,StarknightMT,"2024+ RZR XP 1000 Glass Windshield Scratch Resistant Vent | Compatible with Polaris RZR XP 1000, RZR XP S 1000 2024-2026; Upgraded Process DOT Approved; Heavy Duty, with 2 Manual Wipers",https://www.amazon.com/dp/B0G8FHRW73,https://m.media-amazon.com/images/I/61pIn5mEeBL._AC_US600_.jpg,B0G8FHRW73,1211,32,12607,393.99,5.0,0.0,Polaris RZR XP 1000 2024-2026 / Polaris RZR XP 1000 2014-2023,风挡主件,1,True,32,12607
B0G91JJHGJ,BOSYCY,"15"" Motorcycle Windshield with 4PCS 49mm Quick-Release Fork Clamps, Smoke Windscreen Deflector for Harley Softail Street Bob FXBB FXBBS, Standard FXST, Low Rider FXLR, Dyna FXDB FXDL FXDC",https://www.amazon.com/dp/B0G91JJHGJ,https://m.media-amazon.com/images/I/41NqcbW9ezL._AC_US600_.jpg,B0G91JJHGJ,210,20,2199,109.99,5.0,0.0,Harley Dyna 2006-2017 / Harley Sportster/Dyna 39mm,安装配件,1,True,20,2199
B0GCH7FT63,StarknightMT,"Front Windshield Compatible with Polaris Ranger SP 570 2022-2026, Midsize 570 500 EV ETX 2015-2022, Scratch-Resistant PC Clear UTV Full Window",https://www.amazon.com/dp/B0GCH7FT63,https://m.media-amazon.com/images/I/618PY-hF2SL._AC_US600_.jpg,B0GCH7FT63,112,44,7941,180.49,4.6,0.1818,Polaris Ranger XP/1000/900,风挡主件,1,True,44,7941
B0GD4SHNHR,KEMIMOTO,"KEMIMOTO Sliding Vented Windshield Compatible with 2014+ Viking/Viking VI | Scratch-Resistant, High Light Transmittance, Full Front Window with Pre-Installed Rubber",https://www.amazon.com/dp/B0GD4SHNHR,https://m.media-amazon.com/images/I/71IayY7-NhL._AC_US600_.jpg,B0GD4SHNHR,441,23,4369,189.99,5.0,0.0435,未识别（需人工补充）,风挡主件,1,True,23,4369
B0GDG5KV5D,ANONEMOTO,"Windshield 8"" Wave Windscreen Compatible with Harley Davidson Touring Street Glide Electra Glide Ultra Classic Glide FLHTK FLHT FLHTCUTri Glide 1996-2013, Black",https://www.amazon.com/dp/B0GDG5KV5D,https://m.media-amazon.com/images/I/61WDGdB0tJL._AC_US600_.jpg,B0GDG5KV5D,52,48,1583,32.99,4.6,0.0208,Harley Touring 2014-2023 / Harley Touring 1996-2013,风挡主件,1,True,48,1583
B0GDWN79ZM,StarknightMT,"StarknightMT 2-in-1 Removable Mule 4010 Windshield Compatible with Kawasaki Mule 4000 4010 2009-2026, Scratch & UV Resistant Folding Clear Front Windscreen, No-Drill Install",https://www.amazon.com/dp/B0GDWN79ZM,https://m.media-amazon.com/images/I/814zejSh8hL._AC_US600_.jpg,B0GDWN79ZM,188,10,1899,189.99,3.2,0.2,Kawasaki Mule Pro,风挡主件,1,True,10,1899
B0GF887JDN,KEMIMOTO,KEMIMOTO Upgraded PC Vents Full Windshield w/ Sliding Vents Rubber Seal | 1/4 Inch Hard Coated Front Windscreen Compatible with 2014+ Kubota Diesel RTV X900 X1100C X1120 X1140,https://www.amazon.com/dp/B0GF887JDN,https://m.media-amazon.com/images/I/61cT3gEQcoL._AC_US600_.jpg,B0GF887JDN,1174,13,2989,229.99,5.0,0.3846,未识别（需人工补充）,安装配件,1,True,13,2989
B0GFL765GJ,KEMIMOTO,"KEMIMOTO Vented Full Windsheild Compatible With 2021-2026 Can Am Commander | Max1000R/700, Compatible with 2018-2026 Can-Am Sport/Trail, Windproof/Waterproof, Rubber Weatherstripping, Easy Installation",https://www.amazon.com/dp/B0GFL765GJ,https://m.media-amazon.com/images/I/61aekEv+vtL._AC_US600_.jpg,B0GFL765GJ,370,32,5759,179.99,5.0,0.0313,Can-Am Commander,其他待判断,1,True,32,5759
B0GFSPM8MS,StarknightMT,"Flip Windshield Compatible with Can-Am Defender & Defender Max 2016-2026, Scratch-Resistant Front Full Windscreen Hard Coated PC Clear Window",https://www.amazon.com/dp/B0GFSPM8MS,https://m.media-amazon.com/images/I/71cmHiMyDvL._AC_US600_.jpg,B0GFSPM8MS,546,18,5579,309.99,4.8,0.0556,Can-Am Defender 2016-2026,风挡主件,1,True,18,5579
B0GHN3BVCS,StarknightMT,"UTV Windshield Cover for UForce 1000 (2019-2025) & U10 pro | Transport Protector; Prevents Surface Ice & Thick Frost; Soft Non-woven Inner Lining; UV Block, Heat Shield; Storage Bag",https://www.amazon.com/dp/B0GHN3BVCS,https://m.media-amazon.com/images/I/71vLTCiV7NL._AC_US600_.jpg,B0GHN3BVCS,97,55,2529,45.99,4.2,0.0182,CFMOTO UForce 1000/U10,风挡保护罩,1,True,55,2529
B0GHQ5V7RY,SANYUMOTO,Detachable Wave Wind Splitter Vented Windshield Windscreen | Compatible with Harley Davidson Touring Road King FLHR FLHRC/I FLHRXS 1994-2026 Black Windshield Chrome Bracket,https://www.amazon.com/dp/B0GHQ5V7RY,https://m.media-amazon.com/images/I/71MbJ5bBVqL._AC_US600_.jpg,B0GHQ5V7RY,772,13,4028,309.88,5.0,0.0,Harley Touring 2014-2023,安装配件,1,True,13,4028
B0GHRSNCLG,StarknightMT,"Mule Pro Rear Windshield Compatible with 2015+ Kawasaki Mule Pro FXT, 2016+Kawasaki Mule Pro DXT Hard Coated Polycarbonate Back Window Anti-UV UTV Windscreen Panel Accessories Parts",https://www.amazon.com/dp/B0GHRSNCLG,https://m.media-amazon.com/images/I/71QWpsyabFL._AC_US600_.jpg,B0GHRSNCLG,1287,20,3999,199.99,5.0,0.0,Kawasaki Mule Pro,风挡主件,1,True,20,3999
B0GJ5VVMX1,KEMIMOTO,"KEMIMOTO Vented Front Windshield Compatible with Kawasaki Teryx KRX 1000 2020-2026, Scratch Resistant PC UTV Window with Pre-Installed Rubber Strips Hard Coated Clear Front Full Windscreen",https://www.amazon.com/dp/B0GJ5VVMX1,https://m.media-amazon.com/images/I/71eulw8p+QL._AC_US600_.jpg,B0GJ5VVMX1,1552,21,3569,169.99,4.2,0.0476,Kawasaki Teryx,风挡主件,1,True,21,3569
B0GK6HJGVS,CYCBOLT,Tall Windshield Compatible with KLR 650 2008-2018 Gen 2 KLR 650 | Motorcycle Tall Windscreen (Grey),https://www.amazon.com/dp/B0GK6HJGVS,https://m.media-amazon.com/images/I/51J-uiBENGL._AC_US600_.jpg,B0GK6HJGVS,513,25,1499,49.99,3.3,0.04,未识别（需人工补充）,风挡主件,1,True,25,1499
B0GKF7RPWP,WORLDMOTOP,Motorcycle Windscreen Windshield Replacement for Yamaha MT09 SP MT-09 SP 2025 2026 PC Windscreen Double Bubble (Black),https://www.amazon.com/dp/B0GKF7RPWP,https://m.media-amazon.com/images/I/31Rrwl9E4zL._AC_US600_.jpg,B0GKF7RPWP,215,25,1725,69.0,3.8,0.08,未识别（需人工补充）,风挡主件,1,True,25,1725
B0GLNXY31R,motoparty,"Motoparty Windshield Base Bracket Mount for Polaris General 1000 | General 4 1000 / XP 4 1000 / XP 1000, 2016-2022, Replacement for OEM 5452826, Upgraded Material, Optimized Rear Design",https://www.amazon.com/dp/B0GLNXY31R,https://m.media-amazon.com/images/I/419qhe0dWOL._AC_US600_.jpg,B0GLNXY31R,182,28,1119,39.99,4.0,0.0,Polaris General,安装配件,1,True,28,1119
B0GLP6GLL5,KEMIMOTO,"KEMIMOTO UV-Resistant Front Windshield Compatible With Polaris Ranger 800 XP/ 800 XP Crew / 6x6 800 2010-2016, 570 FullSize 2016-2025, UTV Dual-layer PC Scratch-Resistant Window (Not Fit Midsize)",https://www.amazon.com/dp/B0GLP6GLL5,https://m.media-amazon.com/images/I/71kCa3XkgvL._AC_US600_.jpg,B0GLP6GLL5,302,33,6566,198.99,5.0,0.0303,Polaris Ranger XP/1000/900,风挡主件,1,True,33,6566
B0GLPFV4JQ,KEMIMOTO,"KEMIMOTO UTV Front Windshield Compatible with Ranger 150 EFI Youth 2018+ | Scratch-Resistant, Double-Layer Thickened PC Full Window, Pre-installed Sealing Strip, Accessories (Fits Roof)",https://www.amazon.com/dp/B0GLPFV4JQ,https://m.media-amazon.com/images/I/71XVculbBWL._AC_US600_.jpg,B0GLPFV4JQ,2077,12,1799,149.99,4.0,0.0,未识别（需人工补充）,安装配件,1,True,12,1799
B0GNG47QSK,KEMIMOTO,"KEMIMOTO Thickened Glass Windshield Cover Compatible with Ranger XP 1000 | 52.7x27.5inch Padded Transport Protector,10mm EVA Foam,Sunshade Snow Guard Compatible with Ranger 1000/900 Can Am Defender",https://www.amazon.com/dp/B0GNG47QSK,https://m.media-amazon.com/images/I/71LGENxLn6L._AC_US600_.jpg,B0GNG47QSK,557,70,5599,79.99,4.6,0.0286,Can-Am Defender 2016-2026 / Polaris Ranger XP/1000/900,风挡保护罩,1,True,70,5599
B0GQBBRHXR,StarknightMT,Mule Pro Flip Up Windshield Scratch-Resistant Compatible with 2015-2026 Kawasaki Mule Pro FXT FX DXT DX 2-in-1 Fold Front Window Hard-Coated Polycarbonate Full Windscreen Clear,https://www.amazon.com/dp/B0GQBBRHXR,https://m.media-amazon.com/images/I/71a+ySmPGQL._AC_US600_.jpg,B0GQBBRHXR,120,34,12579,369.99,5.0,0.0294,Kawasaki Mule Pro,风挡主件,1,True,34,12579
B0GQH1NZHW,DREAMIZER,"DREAMIZER Motorcycle Windshield Compatible with Kawasaki Ninja 500 SE 2024-2026,Windscreen Double Bubble Wind Deflector Protector Fairing for Motorcycles (Black)",https://www.amazon.com/dp/B0GQH1NZHW,https://m.media-amazon.com/images/I/41TAR4ro1SL._AC_US600_.jpg,B0GQH1NZHW,134,28,1119,39.99,3.7,0.0357,Kawasaki Ninja 500 2024-2026,风挡保护罩,1,True,28,1119
B0GQH4452T,StarknightMT,"X3 Flip Windshield - Scratch Resistant Polycarbonate Front Window Compatible with Can-Am Maverick X3 XRS XDS Turbo R Max 2017-2026(Except Intrusion Bar), Hard-Coated X3 Full Windshield",https://www.amazon.com/dp/B0GQH4452T,https://m.media-amazon.com/images/I/71RQJFKFAGL._AC_US600_.jpg,B0GQH4452T,324,31,7749,249.99,4.8,0.0323,Can-Am Maverick X3 2017-2026,风挡主件,1,True,31,7749
B0GQLNK6J3,BOSYCY,"15"" Light Smoke Motorcycle Windshield Replacement for BOSYCY Fairing Kit | Motorbike Windscreen w/ Screws, 15 Inch Hard PC Wind Deflector, Custom Fits BOSYCY Harley Dyna Sportster Street Bob",https://www.amazon.com/dp/B0GQLNK6J3,https://m.media-amazon.com/images/I/71PUVcTdDGL._AC_US600_.jpg,B0GQLNK6J3,145,29,1739,59.99,4.5,0.0,Harley Dyna 2006-2017 / Harley Sportster/Dyna 39mm,整流罩/外壳,1,True,29,1739
B0GQZGBNH7,PIKPOP,"Windshield for ZX-6R ZX6R 2024 2025 2026, Motorcycle Front Fairing Windscreen Deflector Protector for ZX-6R/ZX6R Accessories (Black)",https://www.amazon.com/dp/B0GQZGBNH7,https://m.media-amazon.com/images/I/61bbKuQHi0L._AC_US600_.jpg,B0GQZGBNH7,297,40,1999,49.99,5.0,0.05,未识别（需人工补充）,风挡保护罩,1,True,40,1999
B0GR5R6S68,SPEEDNRG,"Rear Vented Windshield Compatible with CFMOTO UFORCE U10 Pro & XL 2025-2026 | Smoked Tint With Sliding Vent For Airflow Control, Hard-Coated PC Back Window, Rubber Seal For Reduced Vibration",https://www.amazon.com/dp/B0GR5R6S68,https://m.media-amazon.com/images/I/71C1awnaTfL._AC_US600_.jpg,B0GR5R6S68,790,24,4799,199.99,5.0,0.0417,CFMOTO UForce 1000/U10,安装配件,1,True,24,4799
B0GR9RS936,KEMIMOTO,KEMIMOTO 2024+XP 1000 2 in 1 Front Flip Windshield New Upgraded Pipe Clamp,https://www.amazon.com/dp/B0GR9RS936,https://m.media-amazon.com/images/I/51Rky8O9AaL._AC_US600_.jpg,B0GR9RS936,235,44,12319,279.99,3.3,0.0909,未识别（需人工补充）,安装配件,1,True,44,12319
B0GR9S16Q8,StarknightMT,"RZR Pro Vented Windshield UV Water Scratch Resistant, Clear",https://www.amazon.com/dp/B0GR9S16Q8,https://m.media-amazon.com/images/I/7152DxGhkBL._AC_US600_.jpg,B0GR9S16Q8,1586,20,3999,199.99,4.5,0.05,Polaris RZR / Turbo R,风挡主件,1,True,20,3999
B0GRFLBCHH,KEMIMOTO,"KEMIMOTO Vented Windshield Compatible with Kawasaki Teryx 800/ 4 800 2016+ | Teryx S/ 4 S 2021+ Clear Full Windscreen, Scratch Resistant PC UTV Front Window with Pre-Installed Rubber Strips Hard Coated",https://www.amazon.com/dp/B0GRFLBCHH,https://m.media-amazon.com/images/I/71V99l9G72L._AC_US600_.jpg,B0GRFLBCHH,193,19,3666,192.99,4.6,0.1053,Kawasaki Teryx,风挡主件,1,True,19,3666
B0GRFNV381,KEMIMOTO,"KEMIMOTO UTV Flip Windshield Compatible with Kawasaki Mule 4000 4010 2009+ | 4010 Trans 2015+ Front Window, Scratch-Resistant Folding Windscreen with Pre-Installed Rubber Strips, Hard-Coated Clear",https://www.amazon.com/dp/B0GRFNV381,https://m.media-amazon.com/images/I/71uaWIButJL._AC_US600_.jpg,B0GRFNV381,181,24,4799,199.99,4.0,0.0833,Kawasaki Mule Pro,风挡主件,1,True,24,4799
B0GRFTKMXP,KEMIMOTO,KEMIMOTO Sliding Window Compatible with Kawasaki Teryx KRX 4 1000 2023+,https://www.amazon.com/dp/B0GRFTKMXP,https://m.media-amazon.com/images/I/71iJ-81U1VL._AC_US600_.jpg,B0GRFTKMXP,547,13,3119,239.99,5.0,0.0769,Kawasaki Teryx,风挡主件,1,True,13,3119
B0GRFWYD5T,KEMIMOTO,KEMIMOTO 3-in-1 Windshield Compatible with Kawasaki Teryx KRX 1000 2020+,https://www.amazon.com/dp/B0GRFWYD5T,https://m.media-amazon.com/images/I/71sjbczMl4L._AC_US600_.jpg,B0GRFWYD5T,582,11,3959,359.99,4.7,0.0909,Kawasaki Teryx,风挡主件,1,True,11,3959
B0GSPNJL2V,StarknightMT,"2-in-1 Talon 1000 Flip Windshield Compatible with Talon 1000X/1000R/1000X4 2019+, Scratch & UV Resistant Folding Clear Polycarbonate Front Windscreen, No-Drill Install",https://www.amazon.com/dp/B0GSPNJL2V,https://m.media-amazon.com/images/I/61waXQvGE9L._AC_US600_.jpg,B0GSPNJL2V,556,16,3199,199.99,2.4,0.0625,未识别（需人工补充）,风挡主件,1,True,16,3199
B0GSVFJ8YR,StarknightMT,"Commander 800 Flip Windshield Scratch Resistant PC | Compatible with Can-Am 2011-2020 Commander 800, 1000; Max, Hard-Coated; 2-in-1 Folding; UV-Resistant; Clear Vision",https://www.amazon.com/dp/B0GSVFJ8YR,https://m.media-amazon.com/images/I/71kVAKi7FrL._AC_US600_.jpg,B0GSVFJ8YR,531,16,3199,199.99,3.3,0.0625,Can-Am Commander,风挡主件,1,True,16,3199
B0GSYM75QQ,ZENTHOR,Clear 8”Motorcycle Windshield Windscreen Wind Splitter Compatible with 1996-2013 Harley Davidson Touring Street Glide Electra Glide FLHT FLHTCU FLHX FLHTK Tri Glide,https://www.amazon.com/dp/B0GSYM75QQ,https://m.media-amazon.com/images/I/51H+s2vZjbL._AC_US600_.jpg,B0GSYM75QQ,115,116,3942,33.99,4.0,0.0,Harley Touring 2014-2023 / Harley Touring 1996-2013,风挡主件,1,True,116,3942
B0GSZ4237B,Xitqiooo,"12"" Windshield Windscreen Compatible with 2023 2024-2026 Road Glide CVO/SE FLTRXSE 2023 FLTRX 2024 CVO ST FLTRXSTSE 2024 Harley Accessories, Smoke",https://www.amazon.com/dp/B0GSZ4237B,https://m.media-amazon.com/images/I/41LVV-VSvGL._AC_US600_.jpg,B0GSZ4237B,179,73,6780,92.89,1.0,0.0,Harley Road Glide 2023.5+,风挡主件,1,True,73,6780
B0GT519214,PSLER,"PSLER Motorcycle Windshield for CBR 650R 2019-2026 | Double Bubble Racing Windscreen ,Air Deflector,for CBR 650R 2019 2020 2021 2022 2023 2024 2025 2026",https://www.amazon.com/dp/B0GT519214,https://m.media-amazon.com/images/I/41YjhtW5dfL._AC_US600_.jpg,B0GT519214,108,28,1150,41.09,0.0,0.0,未识别（需人工补充）,风挡主件,1,True,28,1150
B0GT5CBJ99,PSLER,"PSLER Motorcycle Windshield for ZX-4R ZX-4RR 2023-2026 ZX-25R 2020-2024 | Double Bubble Racing Windscreen ,Air Deflector,for ZX-4R ZX-4RR ZX-25R",https://www.amazon.com/dp/B0GT5CBJ99,https://m.media-amazon.com/images/I/51a-3PT-8qL._AC_US600_.jpg,B0GT5CBJ99,250,32,1375,42.99,5.0,0.0313,未识别（需人工补充）,风挡主件,1,True,32,1375
B0GT9QZRGT,PIKPOP,"Windshield for Ninja650 ER6F 2020-2026, Motorcycle Front Fairing Windscreen Deflector Protector for Ninja 650 ER-6F Accessories (Black)",https://www.amazon.com/dp/B0GT9QZRGT,https://m.media-amazon.com/images/I/6197MXjGDWL._AC_US600_.jpg,B0GT9QZRGT,192,40,1999,49.99,5.0,0.0,未识别（需人工补充）,风挡保护罩,1,True,40,1999
B0GTFJSRP8,WOOGA,Motorcycle Touring Front Larger Fairing Windscreen Windshield Fly Screen Visor replacement for HO&N&DA Rebel CMX 500 CMX300 REBEL500 2017-2026 Accessories Wind Shield Wind deflector (Grey Smoke),https://www.amazon.com/dp/B0GTFJSRP8,https://m.media-amazon.com/images/I/71FxJn+FAKL._AC_US600_.jpg,B0GTFJSRP8,201,38,2127,55.99,2.9,0.0526,Honda Rebel CMX 250/300/500,整流罩/外壳,1,True,38,2127
B0GTPLF373,StarknightMT,Teryx Flip Windshield Scratch Resistant Waterproof Heavy Duty,https://www.amazon.com/dp/B0GTPLF373,https://m.media-amazon.com/images/I/71oVfbgFRrL._AC_US600_.jpg,B0GTPLF373,946,24,6479,269.99,3.9,0.125,Kawasaki Teryx,风挡主件,1,True,24,6479
B0GTY1MKB1,KEMIMOTO,"KEMIMOTO Flip Windshield Compatible with Can Am Defender & Defender Max 2016+, Folding Polycarbonate Front Windshield with Rubber Seal, Scratch-resistant Hard Coat (Clear)",https://www.amazon.com/dp/B0GTY1MKB1,https://m.media-amazon.com/images/I/71yJAv65yJL._AC_US600_.jpg,B0GTY1MKB1,1169,31,10539,339.99,0.0,0.0,Can-Am Defender 2016-2026,安装配件,1,True,31,10539
B0GVF1F6K2,SAUTVS,"SAUTVS Full Vented Windshield for Polaris Ranger 500 2026, Clear Poly | Hard Coated, Scratch Resistant Windscreen, No-Tint, Full Vented Window for Polaris Ranger 500 2026 Midsize",https://www.amazon.com/dp/B0GVF1F6K2,https://m.media-amazon.com/images/I/41iEc1DyEmL._AC_US600_.jpg,B0GVF1F6K2,186,31,5576,179.9,5.0,0.0,Polaris Ranger XP/1000/900,风挡主件,1,True,31,5576
B0GVK7QHSQ,Korvesy,"Vented Windshield for Harley Road King FLHR FLHRXS FLHRC 1994-2024 | Vented windshield with adjustable air vent improves airflow and riding comfort for Harley Road King, Scratch-Resistant",https://www.amazon.com/dp/B0GVK7QHSQ,https://m.media-amazon.com/images/I/71-jXGUjbML._AC_US600_.jpg,B0GVK7QHSQ,1317,19,5492,289.1,5.0,0.1053,未识别（需人工补充）,风挡主件,1,True,19,5492
B0GVY7YRGK,KEMIMOTO,"KEMIMOTO UTV Fullsize 570/800 XP Rear Window, Anti-UV, Scratch-Resistant | Compatible with Polaris Ranger 570 Full Size 2016-2025, Ranger 800/ 800 XP/ Crew 2012-2014 | Hard-Coated | Fit Roof",https://www.amazon.com/dp/B0GVY7YRGK,https://m.media-amazon.com/images/I/71t6764ZcQL._AC_US600_.jpg,B0GVY7YRGK,383,13,2339,179.99,5.0,0.0,Polaris Ranger XP/1000/900,风挡主件,1,True,13,2339
B0GVYBFJCQ,KEMIMOTO,"KEMIMOTO UTV SP 570 2022+ Front Vented Windshield Window (Not Fit FullSize) | Compatible with Ranger Midsize SP 570/Crew 2022-2026|Crystal-Clear PC|Scratch Resistant, Anti UV|Fit Roof|Accessories Part",https://www.amazon.com/dp/B0GVYBFJCQ,https://m.media-amazon.com/images/I/71E3WFWyKlL._AC_US600_.jpg,B0GVYBFJCQ,307,34,6104,179.54,0.0,0.0,未识别（需人工补充）,风挡主件,1,True,34,6104
B0GWDLQTM1,StarknightMT,RTV X Model Vent Windshield Scratch Resistant PC Clear Window Full Vented Windscreen Compatible with 2014-2026 Kubota RTV X900/X1120/X1130/X1140/XG850 (Not for 900/1140/900 XTG/1140 CPX),https://www.amazon.com/dp/B0GWDLQTM1,https://m.media-amazon.com/images/I/71QsDONWBCL._AC_US600_.jpg,B0GWDLQTM1,357,11,2199,199.99,4.0,0.0,未识别（需人工补充）,风挡主件,1,True,11,2199
